Competition 1,Competition 2,Competition 3,Competition 4,competition 5,competition 6,competition 7,competition 8,competition 9,competition 10,competition 11,competition 12,# of competition,successful or not,keywords
41241,84185,45517,485912,724,646883,1729755,1000000,8425,53309,796520,181047,23,1,The Complete Vegetarian Cookbook A Fresh Guide Eating 
215378,36807,93841,396905,183153,22117,442705,19863,544667,1000000,1000000,1000000,9,1,The Essential Vegan Keto Cookbook Healthy Delicious PlantBased 
279290,188618,241713,176263,460725,499374,663346,203066,383720,368089,1000000,1000000,11,0,AFFORDABLE PLANTBASED COOKING WITH YOUR INSTANT POT Quick 
386547,63926,233110,610330,36316,98432,30162,11528,1517884,971144,1030569,176263,13,1,Super Simple One Pot Meals Learn Cook Easy 
1288994,995626,1119684,69939,555445,175579,175146,53366,1000000,1000000,1000000,1000000,8,0,GlutenFree Baking Perfect Gluten Free Bread Cookies Cakes 
740251,197314,139558,141705,32966,13366,32213,384156,42713,776495,184503,32926,17,1,Ottolenghi Flavor A Cookbook 
111676,480663,2601,149970,40699,220025,287260,451120,80310,34794,390454,1000000,722,0,Five Ingredient Vegan 
5530,1575716,130699,15793,989433,353439,253426,20386,21953,415367,36807,67476,23,1,The Vegan Simple Delicious Recipes Made Ingredients Less 
887932,83977,20386,937378,13183,1064506,53309,1004501,251719,15960,1000000,1000000,10,1,Vegan Reset The Day Plan Kickstart Your Healthy 
647705,890240,1000000,567202,854312,1291154,1027773,10663,516044,1051528,92954,44400,30,0,Veggie Mama 
125669,611363,39114,137429,283113,41220,300661,187401,654290,612315,10098,36807,28,1,I Can Cook Vegan 
2696,15301,3941,4065,2981,7153,8303,19492,606639,10967,21126,13013,76,1,Vegan Vengeance th Anniversary Edition Over Delicious Cheap 
13420,117289,32010,159448,17942,31519,44140,144475,2826,71972,363698,8585,60,1,Keto Smoothie Recipes Healthy And Delicious Ketogenic Diet 
373014,1047707,827453,4580,884494,333388,1000000,1000000,1000000,1000000,1000000,1000000,6,0,Indian Delicious Indian recipes ingredients fewer 
781159,228638,1320505,1000000,1669673,1049094,177684,130699,1386571,183153,368089,1000000,12,0,The Vegetarian Meal Prep Cookbook TimeSaving Recipes Weekly 
519771,201649,53550,9209,568342,107074,482,1092271,33420,1277343,567945,759107,54,1,Air Fryer Cookbook For Beginners In Easy Healthy 
4578779,168233,1764695,586030,886626,7711,909955,3146652,1232771,126,1251587,936267,12,0,Things To Do With Potato 
1100,57713,105376,14832,93364,7817,46176,1000000,1000000,1000000,1000000,1000000,7,1,Six Seasons A New Way Vegetables 
397680,26298,383720,1153786,345302,1410964,181047,934736,13887,1011180,5530,37927,19,1,The Complete Vegan Instant Pot Cookbook Delicious WholeFood 
45880,25947,37927,21766,43582,113538,287260,1000000,1000000,1000000,1000000,1000000,7,1,The Oh She Glows Cookbook Over Vegan Recipes 
95841,124701,1171768,138316,360916,57520,109959,74946,182294,51338,142703,384825,348,0,Edible Wild Plants 
53309,177722,51801,354245,3880,70643,122324,13887,1000000,1000000,1000000,1000000,8,1,The PlantBased Diet Beginners Delicious Healthy WholeFood Recipes 
896,3793,1000000,39704,450,2754,38760,2117,2117,8999,3827,223073,116,0,THE GARDEN GURU ’ S GUIDE TO PRESERVING 
413286,64945,44398,393799,135579,100693,52265,144337,7915,205855,175,321398,50,0,The New Vegetarian Cooking Everyone A Cookbook ] 
42713,2243927,172002,28680,448197,1000000,1000000,1000000,1000000,1000000,1000000,1000000,5,0,BOSH Simple Recipes Amazing Food All Plants BOSH 
2195572,1468855,227068,1238799,2426186,1101074,948459,1795940,1236038,1236240,1000000,1000000,11,0,Days Spiralizer Recipes A Spiralizer Cookbook Over Recipes 
11596,254860,200550,1137086,852271,777951,13572,959372,978378,194044,220479,128920,12,0,The Plant Paradox Cookbook Delicious Recipes Help You 
1061602,15960,503904,13183,741118,1064506,230972,1678374,908516,1720011,633896,475501,13,0,LowCarb Vegetarian Cookbook Easy Recipes KickStart Meal Plan 
99740,178867,3544,7545,413638,227912,160821,215387,1252110,255600,92318,57812,62,0,The Healthy Air Fryer Cookbook Truly Healthy Fried 
45880,19175,34959,413303,25947,1000000,1000000,1000000,1000000,1000000,1000000,1000000,5,1,Rachel Ama ’ Vegan Eats Tasty plantbased recipes 
409758,3880,15960,28680,67476,254860,61749,48092,270551,6966,83460,113355,785,1,Eating Vegan A PlantBased Cookbook Beginners 
595085,2261800,203366,1733919,3633206,1000000,1509325,81327,90957,1000000,1000000,1000000,9,0,The Healthy Smoothie Bible Lose Weight Detoxify Fight 
616152,38743,111676,67476,1429374,724,53309,470128,557805,1364621,234813,781559,45,1,The Minute Vegetarian Cookbook Healthy Delicious Meals Busy 
181047,84185,36807,1000000,41241,1729755,724,8425,31143,796520,45517,485912,23,1,The Complete Vegetarian Cookbook A Fresh Guide Eating 
1000000,9392,290667,41477,854331,608586,10205,442108,350490,5364,52471,671040,15,1,DR SEBI How Naturally Detox Liver Reverse Diabetes 
33607,486719,291322,681,146874,1392139,2826,32010,2601,310529,908605,52242,111,1,Atkins Diet Plan The Complete Beginners Guide With 
107420,6966,90841,67476,15960,122324,26277,33914,13887,528,3880,128643,33,1,Forks Over Knives—The Cookbook Over Recipes PlantBased Eating 
124701,379426,47127,137429,95841,142703,51338,392006,6423,15925,182294,109959,34,1,The Complete Guide Edible Wild Plants 
183172,32166,37927,221800,503473,12730,68730,108882,13887,65627,142198,2153,109,1,Vegetarian Instant Pot Cookbook Fast Easy Follow Healthy 
1778937,388920,514321,1043052,37621,1093939,939553,77785,26755,723644,693703,18948,215,1,The Farmers Market Cookbook 
475172,92359,57498,107123,175,2826,114337,97701,42713,13013,292749,63678,186,1,Ingredients Quick Easy Food The UK edition 
77416,318375,393799,6966,530391,372311,115662,872927,53411,858596,437061,270551,190,0,Plant Based Diet Cookbook For Beginners HighProtein Healthy 
203066,383720,663346,279290,176263,241713,460725,368089,499374,188618,1000000,1000000,11,0,AFFORDABLE PLANTBASED COOKING WITH YOUR INSTANT POT Quick 
139995,1022410,254419,423910,16149,223927,391016,1162718,287043,176260,1063165,467567,109,0,Dr Sebi The Complete Guide Dr Sebi ’ 
310629,283634,115662,64432,888054,3880,61749,135579,432680,254860,661258,1009752,397,0,Plant Based Diet Cookbook beginners Quick Easy Cookbook 
36439,83460,200718,296480,365179,59767,211849,330165,73066,211177,17760,18471,81,1,The Farm Cooking School 
515901,347222,1919586,16579,270687,275239,230488,27745,367765,57498,106247,608487,59,1,Comfort food soothe soul 
723495,1000000,5364,2077701,1000000,290667,358281,1405485,1000000,1000000,1000000,1000000,8,0,Dr Sebi Alkaline Recipe A Comprehensive Guide On 
26277,13887,279290,111676,175,254860,80310,67476,100693,20386,28680,3880,533,1,The Easy Ingredient Vegan Cookbook Healthy Plant Based 
257783,415054,83460,121417,202450,925757,109881,1737939,379303,961687,1241257,199486,13,0,Bean Bean A Cookbook More Recipes Fresh Beans 
3941,13013,8303,2981,4065,19492,83389,23153,28701,21126,105645,6314,68,1,Vegan Vengeance th Anniversary Edition Over Delicious Cheap 
384156,7915,184503,740251,32966,32213,776495,139558,42713,32926,141705,1120833,17,1,Ottolenghi Flavor A Cookbook 
67476,203066,616152,13887,22117,452766,26277,142198,107420,44140,52265,329005,44,1,Vegetarian Instant Pot Healthy PlantBased Recipes Make Quick 
4721,66687,13887,713789,794900,117021,145019,57498,144475,32166,84338,9276,75,1,Foodie Cookbook Beginners Foodie Recipe Book Day Plan 
235987,808224,2129329,338286,6437563,1000000,1000000,1000000,1000000,1000000,1000000,1000000,5,0,James Beards Menus Entertaining 
3880,317,6966,79660,19966,245178,116196,229391,1000000,44140,226000,283634,86,1,The PlantBased Diet Beginners The Health Benefits Eating 
239542,482,32370,48325,294458,169554,481171,632772,106555,53550,11181,201649,23,1,Instant Vortex Air Fryer Oven Cookbook beginners Most 
632772,16066,29136,37699,207780,759107,1000000,1000000,1000000,1000000,1000000,1000000,6,1,INSTANT POT AIR FRYER LID COOKBOOK Affordable Quick 
202450,508922,337864,3001,1075406,444838,544524,150175,701779,81931,496897,485185,84,0,Keto Bread Machine Recipe Book Quick And Easy 
36316,53182,102837,55071,353977,537423,116591,383675,390490,234621,759107,30162,247,1,Air Fryer Cookbook Beginners Day Quick Easy Recipe 
1026448,1231783,1077511,971154,1303,2503166,1000000,1000000,1000000,1000000,1000000,1000000,6,0,Hello Margarita Recipes Best Margarita Cookbook Ever For 
55071,353977,232601,33420,730892,889174,2601,853710,1000000,99740,288752,575360,196,0,Air Fryer Cookbook Beginners Easy Healthy LowCarb Recipes 
218120,98155,164322,230076,133926,983513,19966,503883,1153644,206172,100196,322256,34,0,Intermittent Fasting Increase Energy Heal Your Body Intermittent 
420144,110896,3544,482,421043,30162,32370,1180318,11181,14032,1000000,1000000,10,1,Nuwave Air Fryer Oven Cookbook Beginners Amazingly Easy 
897310,109953,71177,479250,119318,223180,821982,613254,1000000,1000000,1000000,1000000,8,0,KETO SOUPS OVER AMAZING KETO SOUPS FOR ALL 
62543,120042,10094,495927,723717,2017344,1378,363859,1000000,1000000,1000000,1000000,8,0,KETO ICE CREAMS COOKBOOK EASY AND DELICIOUS ICE 
389099,2601,8188,9276,12749,13887,5455,21314,94740,681,12745,25947,206,1,Slow Cooker Cookbook Easy Recipes Simple Follow Food 
57307,29655,13768,8767,110061,9460,92752,154819,30331,1100861,557684,17501,32,1,Foodie Grill Cookbook Beginners Recipe Foodie Grill Cookbook 
2560064,1620577,481961,13627,458847,2209170,1290403,822768,803917,1000000,1000000,1000000,9,0,Hello Main Dish Casserole Recipes Best Main Dish 
1000000,1140253,922075,2110472,1089967,1000000,1000000,1000000,1000000,1000000,1000000,1000000,5,0,Cooking Joule Sous Vide Immersion Circulator Delicious Recipes 
170901,487181,147896,44140,343720,71390,594974,166228,63436,76104,19775,164335,90,0,Keto Instant Pot Cookbook Beginners Burn Low Carb 
439820,44140,15081,175822,310349,307870,5530,346120,1284117,17559,1174213,668243,118,1,Mediterranean Diet Cookbook Two Easy Healthy Delicious Recipes 
137840,123667,36316,713042,858989,105235,254965,1000000,1000000,1000000,1000000,1000000,7,0,Aroma Rice Cooker Cookbook Easy Delicious Rice Cooker 
513746,51801,203366,101741,250311,1000000,1000000,1000000,1000000,1000000,1000000,1000000,5,0,KETO DRINK COOKBOOK FOR BEGINNERS SMOOTHIES COCKTAILS JUICES 
2017344,1781830,363859,814691,133418,1022490,100406,495927,2824476,85271,1163413,723717,14,0,KETO ICE CREAMS EASY RECIPES FOR BEGINNERS 
14354,204406,340283,743046,1145533,16267,81502,30558,15010,167098,725429,1151371,407,1,Mediterranean Diet Cookbook Day Meal Plan Lose Weight 
11035,537710,665718,969842,660910,5530,190173,7339,331655,14460,585887,1504090,440,1,Instant Pot Recipe Book Quick Easy Electric Pressure 
1337835,322,1125989,1077511,931330,1026448,1103828,971154,316545,1000000,1000000,1000000,9,0,Hello Rum Drink Recipes Best Rum Drink Cookbook 
912025,673421,250385,334804,394926,1788,5530,94413,207169,214174,854792,7339,59,1,Instant Pot Cookbook Foolproof Recipes Electric Pressure Cooker 
159448,564905,645449,1997556,67028,1775943,9532,792103,662361,681,2601,1000000,29,1,Ketogenic Diet Cookbook Top Keto Recipes Health Rapid 
2475857,1133187,728303,104876,4883908,745942,1029108,761107,476415,714955,707898,300661,58,0,Hello Bean Salad Recipes Best Bean Salad Cookbook 
2601,5455,9469,9276,681,28558,338626,159448,9532,57498,255335,12749,621,1,Ketogenic Instant Pot Cookbook Low Carb Weight Loss 
125853,251456,24804,120185,702161,14460,622488,227194,250699,1000000,1000000,1000000,9,0,A Dinner Day Complete Meals Minutes Every Weeknight 
659421,1225810,1418179,164341,53624,1000000,1000000,1000000,1000000,1000000,1000000,1000000,5,0,Hello Christmas Side Dish Recipes Best Christmas Side 
1742,424589,591211,187075,201943,283948,299910,486719,2017344,237535,11596,351185,88,0,KETO DRINKS COOKBOOK EASY AND DELICIOUS DRINKS FOR 
583887,1205021,2290,718908,1468535,36861,1000000,1000000,1000000,1000000,1000000,1000000,6,0,Sunday Suppers Recipes Gatherings A Cookbook 
855692,1323418,2137819,643582,910039,924123,1225810,125526,553500,299298,761123,1205521,68,0,Hello Christmas Recipes Best Christmas Cookbook Ever For 
854739,147914,193813,213332,386983,9175,1113580,6719,42647,144668,38543,1154688,158,1,Professional Catering 
479114,63436,786250,328248,1378,97826,747131,409150,52265,62543,9469,12749,30,1,The Keto Instant Pot Cookbook A Practical Approach 
442705,642766,1889199,47043,69318,329005,180722,203066,15960,1017170,634160,12730,76,1,Vegan Instant Pot Cookbook Easy PlantBased Recipes Pressure 
239913,740849,1139445,254140,1601724,4182698,3181,36316,861262,360678,418519,384645,18,0,Campfire Cooking Easy Recipes Cooking Grill Cast Iron 
67011,200997,182904,124643,2098918,134896,1524857,110929,351310,1000000,82814,1967817,709,0,Mexican Food Easy Recipe Book 
19175,687957,1901118,1656551,3212650,1047166,231413,1075737,35,586636,47492,2718629,15,0,eat peas English picture book children 
1290403,897839,202450,543624,641966,2776892,1221009,803917,1118045,1187868,926386,1351839,17,0,Hello Spaghetti Squash Recipes Best Spaghetti Squash Cookbook 
30162,482,583364,2601,32166,503618,36316,681,277566,1678876,759107,3544,48,1,Air Fryer Cookbook The Top Quick Easy Recipes 
55071,53182,30162,14032,759107,390490,353977,116591,102837,383675,8188,537423,247,1,Air Fryer Cookbook Beginners Day Quick Easy Recipe 
233944,132447,37927,584155,24733,2826,408476,20823,32166,3573,13887,16245,315,1,Days Cookie Recipes A Cookie Cookbook Over Recipes 
124383,424262,18655,374998,7440,464466,223573,247173,106865,40688,6194,241471,87,1,The New Camp Cookbook 
642449,589527,26634,72154,762134,183178,299298,4235,35478,220091,548384,354759,13,1,Season Big Flavors Beautiful Food 
10094,539351,19690,95418,2601,625787,57498,272872,11921,22549,159448,244573,739,1,Keto Diet Instant Pot Cookbook Ingredients Keto Diet 
113538,37927,15793,287260,45880,25947,60997,1000000,1000000,1000000,1000000,1000000,7,1,The Oh She Glows Cookbook Over Vegan Recipes 
2345,91424,44433,297,360151,640920,718807,7877,44914,8767,14298,1206,55,1,Foodi Digital Air Fry Oven Cookbook Beginners Simple 
1285881,35478,1461807,78537,2793058,275402,395085,217335,272664,72154,1297589,78537,16,0,Spice Mixes Spices And Herbs Mixes From Around 
59767,296480,344373,73066,211177,200718,36439,1000000,18471,17760,211849,330165,81,0,The Farm Cooking School 
116196,229391,226000,6966,3880,79660,283634,317,44140,95275,245178,1000000,86,0,The PlantBased Diet Beginners The Health Benefits Eating 
383720,44140,180722,13887,381657,69318,12730,67476,26277,25947,142198,37927,84,1,Vegetarian Instant Pot Healthy PlantBased Recipes Make Quick 
139558,377993,565261,81160,333700,1000000,1000000,1000000,1000000,1000000,1000000,1000000,5,0,Sababa Fresh Sunny Flavors From My Israeli Kitchen 
236718,697117,214031,1160340,528,961923,128614,438639,1529013,64590,3583498,11848,13,0,Mediterranean Diet Beginners Everything You Need Get Started 
1092694,41536,1000000,1000000,189104,1000000,1000000,1000000,1000000,1000000,1000000,1000000,5,0,Magnolia Table A Collection Recipes Gathering 
105376,57713,1100,93364,7817,46176,14832,1000000,1000000,1000000,1000000,1000000,7,1,Six Seasons A New Way Vegetables 
1557603,1000000,1988222,1000000,313244,1000000,1000000,1000000,1000000,1000000,1000000,1000000,5,0,Keto Ice Cream Homemade KetoFriendly Ice Creams Frozen 
275239,230488,57498,16579,270687,27745,347222,515901,1919586,106247,608487,367765,59,0,Comfort food soothe soul 
331655,1566114,1380623,958466,966986,470128,2230624,1471681,47043,58807,1742,357493,13,0,Delicious Sweet Potato Recipes – Tasty Healthy Sweet 
745218,111318,704359,321621,1236069,119819,1000000,276107,1000000,1000000,1000000,1000000,8,0,The Complete Cooks Country TV Show Cookbook Season 
80629,40685,82929,530756,495927,176927,71483,1837163,1108289,101833,2161691,17501,16,1,Easy Frozen Ice Pop Recipes – The Ice 
218015,1525385,496897,1902035,808556,94994,712897,832928,4875,269943,96386,7364,46,0,Homemade Ice Cream Quick Easy Homemade Ice Cream 
138923,888351,828708,541795,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,4,0,Pam Jam The Book Preserves 
15565,18422,54597,53639,32213,105376,3474,27,1100,207779,20386,32166,32,1,The Smitten Kitchen Cookbook 
747991,52265,92359,642003,8188,451801,555110,2212438,2567832,606639,97458,21953,21,0,Everyday Food Great Food Fast Recipes Easy Delicious 
134396,2290,9313,155558,142865,116705,17971,32926,129400,283164,93364,13925,35,1,The Food Cookbook Winning Recipes Exceptional Home Cooks 
482,3544,30162,11181,32370,421043,1206,1180318,420144,110896,1000000,1000000,10,1,Nuwave Air Fryer Oven Cookbook Beginners Amazingly Easy 
1788,40528,68730,14460,1742,4471,2153,190173,117803,82929,119318,8767,62,1,Instant Pot Cookbook Beginners Master Your Instant Pot 
109953,36026,14460,22061,354656,43303,125853,117021,32991,15565,971144,32166,70,1,Weeknight Meals Cookbook Two Easy Healthy Dinner Recipes 
499741,553502,7836,135583,76644,227369,544825,349009,406812,52265,818942,66171,362,0,Easy Baking Quick And Easy Pies Recipes For 
397796,370361,185386,35499,442041,1011559,111394,163114,263334,92793,841972,1000000,11,0,Complete Electric Smoker Cookbook Delicious Electric Smoker Recipes 
258088,528460,466674,437330,97552,58905,414060,16898,345283,184417,392809,222327,20,0,Easy Recipes Perfect Any Occasion 
778192,76522,31599,14075,5530,345302,107416,468490,1082237,1000000,1000000,1000000,9,1,THE COMPLETE INSTANT POT COOKBOOK Over Quick Foolproof 
537423,53182,30162,116591,353977,36316,759107,383675,102837,55071,234621,390490,247,0,Air Fryer Cookbook Beginners Day Quick Easy Recipe 
121453,118499,567941,21953,55712,12749,3880,603219,5848,124984,95462,794447,312,1,Meal Prep Delicious And Simple Meal Prep Recipes 
54098,596853,377912,259436,515570,26700,581010,119909,110061,163114,387617,163193,47,0,Wood Pellet Smoker Grill Cookbook The Ultimate Guide 
759107,362890,87781,356305,14032,1000000,1000000,1000000,1000000,1000000,1000000,1000000,5,0,GoWise USA Air Fryer Recipe Cookbook Made Air 
13887,89080,349009,31521,54874,42956,2601,21314,13485,21953,27269,36316,339,1,The Quick Easy Cookbook Tasty New Recipes You 
99740,87781,1000000,27269,30162,55071,21439,2601,84625,11921,681,759107,189,1,Keto Air Fryer Cookbook Easy Healthy Low Carb 
180722,221909,28558,2601,9276,11921,681,5455,97826,5530,11035,66997,522,1,Instant Pot Cookbook LowCarb Easy Healthy Instant Pot 
190173,82929,69001,2255,77396,14075,270551,2415,383720,224006,26298,436309,306,1,Instant Pot Cookbook Beginners Instant Pot Budget Cookbook 
57281,1017,57767,358749,1000000,65658,842288,215925,7836,485185,2601,553502,643,1,Easy Baking Quick And Easy Bread Recipes For 
85931,95418,32166,56354,53639,36316,1154033,53646,134333,57498,159448,176633,70,1,CROCK POT Delicious Healthy Crock Pot Recipes Crock 
47821,1902035,585760,85271,34565,96386,78547,127543,156203,97552,685379,1000000,12,0,Making Ice Cream Cuisinart Ice Cream Maker Good 
2826,77402,69320,434442,777170,5530,12180,976291,53639,57498,32166,12749,44,1,Delicious Keto Desserts Best Tasty Low Carb Recipes 
641686,282658,360151,926476,17501,876096,779636,377809,1186626,35478,1245415,1377597,13,1,Sous Vide Cookbook The Essential Beginners Guide For 
670981,360557,345302,757872,36316,1089380,26298,218495,494259,95418,494259,9209,288,0,THE KETO INSTANT POT COOKBOOK Quick Easy Delicious 
106270,248870,759915,619933,232045,420279,13420,120042,348379,100406,283948,73313,105,0,Keto Savory Fat Bombs Savory Fat Bombs Recipes 
113867,2344887,322,920040,1336134,1056345,1023808,1000000,1000000,1000000,1000000,1000000,7,0,The Everything Cocktail Parties And Drinks Book The 
11761,955,47106,71459,21874,26192,10695,589,25384,409584,113701,348379,75,1,Easy Thanksgiving The Paleo Lowcarb Way 
128614,1682581,236718,64590,961923,346120,438639,1608306,214031,7915,2599980,1000000,11,0,Mediterranean Diet Cookbook Beginners All Need get Started 
568385,3053426,829791,8188,139439,1178298,982951,1000000,1000000,1000000,1000000,1000000,7,0,The Everything Slow Cooking For A Crowd Cookbook 
558417,486567,10205,90957,16154,177738,169763,2181369,22061,1798131,17238,124984,128,0,Juicing Recipes Weight loss Detox Healthy Living 
317,1174499,15010,124984,2601,1000000,302653,138321,790597,333700,2153,177037,875,0,PALEO FOOD LIST Paleo Diet Food List For 
